L1_transcriptions_eng
URL,Narrow (phonetic) Transcriptions,Broad (phonemic) Transcriptions
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=72,[pʰləɪ̆z kʰaːlˠ stəɛlə æsk hɝ tʰə bɹəɪ̃ŋ ðəɪ̆z θəɪ̃ŋz fɹʌ̃m hɝ wɪθ hɝ fɹə̃m ðə stoɹ sɪk spuũnz ə fɹeʃ snə̆oʊ pʰəɪ̆z fɑːv θɪkʰ slæbz ʌv bluu t͡ʃəiz æ̃n meɪ̆bi ə snæk fɔɹ hɝ bɹʌðɚ bɑːb wii alsoʊ nəid ə smɑlˠ pʰlæstɪk sneɪ̆k æ̃n ə bɪg tʰɔɪ fɹʌ̃m hɝ fɔɹ ðə kʰiɪdz ʃii kʰn̩ skuup ðiiz θəɪ̃ŋz ɪ̃ntə θɹii ɹɛ̩d bægz æ̃n wi wʌlˠ gə̆oʊ məɪ̆t̚ hɝ wɪ̃nzdeɪ̆ ɛt̪ ðə tʰɹeɪ̆n steɪʃn] ,/pləɪz kaːl stəɛlə æsk hɜɹ tə bɹəɪŋ ðəɪz θəɪŋz fɹʌm hɜɹ wɪθ hɜɹ fɹəm ðə stoɹ sɪk spuunz ə fɹeʃ snəoʊ pəɪz fɑːv θɪk slæbz ʌv bluu t͡ʃəiz æn meɪbi ə snæk fɔɹ hɜɹ bɹʌðəɹ bɑːb wii alsoʊ nəid ə smɑl plæstɪk sneɪk æn ə bɪg tɔɪ fɹʌm hɜɹ fɔɹ ðə kiɪdz ʃii kn skuup ðiiz θəɪŋz ɪntə θɹii ɹɛd bægz æn wi wʌl gəoʊ məɪt hɜɹ wɪnzdeɪ ɛt ðə tɹeɪn steɪʃn/ 
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=480,[pʰliz̥ kʰɑl stɛla æsk ɚ ɾə bɹɪ̃ŋ ðɪːz θɪ̃ŋz wɪθ ɚ fɹɔ̃m ðə stɔɹ sɪks spũnz ɔf fɹɛʃ ʃnoʊ pʰiːz faɪv θɪk]slæːbz ɔv blu tʃiːz ɛ̃n meɪbi ə snæk fɔ hɚ bɹʌðɚ bɑːb wɪ ɔlˠso nid ə smɔlˠ pʰlastɪk sneɪk ɛ̃n ə bɪg̚ tʰɔɪ fɹɔg fɔ ðə kʰidz ʃi kʰə̃n skup ðiz θɪ̃ŋz ɪ̃nɾə θɹi ɹɛd bægz ɛ̃n wi wɪlɣ goʊ miɾ ɚ wɛ̃nzdeɪ æt ðə tɹẽɪn steɪʃə̃n],[pliz kɑl stɛla æsk ɚ ɾə bɹɪŋ ðɪːz θɪŋz wɪθ ɚ fɹɔm ðə stɔɹ sɪks spunz ɔf fɹɛʃ ʃnoʊ piːz faɪv θɪk slæːbz ɔv blu tʃiːz ɛn meɪbi ə snæk fɔ hɚ bɹʌðɚ bɑːb wɪ ɔlso nid ə smɔl plastɪk sneɪk ɛn ə bɪg tɔɪ fɹɔg fɔ ðə kidz ʃi kən skup ðiz θɪŋz ɪnɾə θɹi ɹɛd bægz ɛn wi wɪlɣ goʊ miɾ ɚ wɛnzdeɪ æt ðə tɹeɪn steɪʃən]
