L2_transcriptions_arb,,
URL,Narrow (phonemic) Transcriptions,Broad (phonemic) Transcriptions
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=11,bəliːz kʰɔl stelə æsk her tu brĩŋ ðɪs θĩŋz wɪθ her frɑ̃m ðə stɔr sɪks spũn ʌf frɛʃ sno bis faɪf θɪks əslɪp ʌf blu t͡ʃʰis ʌnd mebi ə snek fɔr her brʌðer bɑp wi ɔlso nid ə smɔl blæstɪk snek ɛnd ə bɪk tɔɪ frɔg fɔr ðʌ kʰɪts ʃi kæn skup ðɪs θɪŋs ɪntu θri rɛt bæks ɛnd wi wɪl go mit her wɛnɪzde ɛt ðə tren steʃən,bəliːz kɔl stelə æsk her tu briŋ ðɪs θiŋz wɪθ her frɑm ðə stɔr sɪks spun ʌf frɛʃ sno bis faɪf θɪks əslɪp ʌf blu t͡ʃis ʌnd mebi ə snek fɔr her brʌðer bɑp wi ɔlso nid ə smɔl blæstɪk snek ɛnd ə bɪk tɔɪ frɔg fɔr ðʌ kɪts ʃi kæn skup ðɪs θɪŋs ɪntu θri rɛt bæks ɛnd wi wɪl go mit her wɛnɪzde ɛt ðə tren steʃən
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=17,plis kol stɛːl stɛla ɑsk her tu bɹɪ̃ŋ ðis θɪ̃ŋz wɪθ heɹ fɹɒm ðə stɔɹ sɪks spõnz̥ ɔv fɹɛʃ snoʊː pʰis faɪft̚ θɪks s̩slɛb̥s ɔf bɭuː t͡ʃiz æn mebi ʌ snæk fɔr her bɾʌðɛɹ bop wi ɔlso nid ə smol plɛstɪk snɛk æ̃n bik tɔɪ fɹʊ̆ fɹʊg fɔr də kɪd̥s fɔr ðə kid̥s ʃi kɛ̃n skoup ðiz θɪːŋz ɪ̃ntu θri ɹɛd̥ʔ bæ̆gs ænd wi wɜl goʊ miʔ mithɜɹ wɪnɪ̃zdeɪ æt ðʌ tʰɹeɪ̃n steɪʃən,plis kol stɛːl stɛla ɑsk her tu bɹɪŋ ðis θɪŋz wɪθ heɹ fɹɒm ðə stɔɹ sɪks sponz ɔv fɹɛʃ snoʊː pis faɪft θɪks sslɛbs ɔf bɭuː t͡ʃiz æn mebi ʌ snæk fɔr her bɾʌðɛɹ bop wi ɔlso nid ə smol plɛstɪk snɛk æn bik tɔɪ fɹʊ fɹʊg fɔr də kɪds fɔr ðə kids ʃi kɛ̃n skoup ðiz θɪːŋz ɪntu θri ɹɛdʔ bægs ænd wi wɜl goʊ miʔ mithɜɹ wɪnɪzdeɪ æt ðʌ tɹeɪn steɪʃən
